food,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g)
쌀밥,210,334.8,73.71,0,0.45,5.76,3.6,126,59.4,146.7,0,0.36,1.35,0,0
기타잡곡밥,200,302.36,65.52,0,0.75,6.71,12.06,117.84,3.39,166.72,6.9,1.74,1.83,0,0
콩밥,200,322.9,65.85,0,1.67,8.43,24.7,126.9,4.1,258.4,22.5,1.74,1.61,0,0
보리밥,200,316.1,70.57,0,0.14,5.55,6.7,68.8,4.5,100.6,0,1.26,1.41,0,0
돌솥밥,350,528.86,101.85,0,8.35,10.19,61.46,193.72,618.32,624.32,57.79,3.32,2.58,2.37,0
현미밥,230,351.35,77.88,0,1.1,6.66,6.01,178.28,42.08,209.33,0,1.05,1.65,0,0
흑미밥,200,318,70.29,0,0.39,5.44,6.3,98.6,4.5,112.9,0,1.29,1.35,0,0
감자밥,200,308,68.64,0,0.08,5.68,6.4,86.8,5.2,267.6,9.2,1.36,1.4,0,0
곤드레밥,350,506.8,108.05,0,8.37,14.14,30.32,95.48,88.75,815.92,22.4,1.88,1.78,0,0
김치볶음밥,500,656.98,79.29,4,5.06,8.74,35.89,182.12,1094.91,305.71,1.92,1.06,1.85,76,0
주먹밥,150,209.56,36.18,0,3.46,6.7,85.43,151.23,329.69,179.33,0,0.7,0.8,50.13,0
볶음밥,400,687.74,100.33,0,19.29,24.46,58.42,414.66,1441.42,578.88,14.98,3.29,3.45,309,0
일반비빔밥,500,703,95.68,3.44,25.28,22.6,96.8,289.33,1234.09,742.51,55.8,4.75,4.16,40.2,0
전주비빔밥,450,662.19,92.99,3.44,13.03,15.84,65.04,236.12,1281.3,450.11,10.84,3.24,2.86,286.94,0
삼선볶음밥,400,683.62,113.43,5.09,16.84,19.26,119.37,249.11,1155.81,640.97,29.67,4.52,3.57,119.13,0
새우볶음밥,400,634.52,91.62,0,17.91,24.12,81.82,341.3,1124.63,710.66,17.68,4.15,2.82,127.2,0
알밥,400,606.54,92.1,0,3.45,15.16,68.6,235.4,1647.87,510.41,7.4,3.56,3.3,39,0
산채비빔밥 ,400,495.89,89.66,0.52,10.99,10.66,63.1,160.29,1060.78,509.95,38.81,3.53,2.05,0,0
오므라이스,450,684.99,101.62,0,19.75,23.15,81.56,341.26,1123.24,788.38,33.71,4.13,3.67,605.63,0
육회비빔밥,450,661.41,91.74,2.58,17.54,32,86.38,404.74,1126.6,793.74,33.58,5.97,6.53,241.65,0
해물볶음밥,400,659.23,85.19,0,23.71,22.68,77.5,305.55,951.03,555.36,24.2,4.13,3.08,362.4,0
열무비빔밥,400,445.66,90.03,1.72,3.16,12.99,91.06,167.96,718.39,708.68,1.29,3.91,2.65,12.8,0
불고기덮밥,500,699.96,92.09,5.99,21.4,29.31,45.77,328.37,1182.88,764.5,30.22,4.25,8.77,72,0
소고기국밥,700,331.71,54.93,0,4.74,16.04,33.02,194.58,1613.21,485.21,0,3.61,2.31,25.5,0
송이덮밥,600,600.42,103.57,0,14.45,16.28,91.94,279.96,1578.85,1313.48,0,5.71,4.25,9.54,0
오징어덮밥,500,693.98,83.43,2.69,20.92,40.59,76.77,586.83,1497.37,874.96,62.69,3.23,4.63,387.6,0
자장밥,500,729.62,98.08,4,24.95,25.76,81.91,297.12,1521.85,781.93,32.5,5.7,5.68,36,0
잡채밥,650,851.54,125.7,4,28.61,21.14,84.11,287.78,2251.34,817.08,32.55,4.83,5.9,36,0
잡탕밥,750,737.23,100.55,0,22.48,29.02,77.6,363.25,1922.14,803.73,15.65,4.86,6.22,188.05,0
장어덮밥,400,671.72,103.04,0,19.24,26.14,611.12,448.26,893.22,785.08,28.6,22.17,4.75,156.96,0
제육덮밥,500,796.94,95.8,5.4,27.52,37.8,46.04,573.7,1375.69,624.95,0,6.28,7.17,108,0
짬뽕밥,900,696.69,93.42,0,22.42,41.8,394.17,667.61,2869.54,1715.52,0,11.59,5.57,304.3,0
순대국밥,900,690.35,34.23,0,16.48,17.34,132.86,239.26,3418.2,672.91,3.45,9.11,6.62,1480.97,0
카레라이스,500,653.24,92.58,0,10.67,13.4,27.9,218.24,1108.55,525.62,70.18,1.98,2.66,13.75,0
전주콩나물국밥,900,432.38,88.73,0,3.53,12.5,76.88,231.65,1753.26,525.79,67.79,2.38,2.37,2.77,0
해물덮밥,700,837.98,100.11,0,29,51.77,167.54,542.32,2117.83,1361.77,34.8,16.63,5.86,293.87,0
회덮밥,500,698,101.75,18.41,11.4,42.99,117.12,587.94,777.63,1131.35,6.98,3.9,2.67,125.59,0
소머리국밥,1100,891.43,77.06,0,40.76,48.94,53.26,302.43,970.9,455.78,24.67,1.89,4.22,477.1,0
돼지국밥,1200,811.44,78.28,3.3,36.45,56.76,65.73,280.74,1257.67,497.83,57.14,42.95,43.67,734.5,0
하이라이스,360,477.6,84.59,0,9.67,7.92,5.94,139.95,991.68,251.61,6.6,0.55,1.51,8.57,0
김치김밥,250,377.26,71.8,0,4.62,11.45,79.06,220.2,967.79,413.86,3.6,1.46,1.96,99.6,0
농어초밥,250,414.78,74.14,6.97,2.37,19.93,54.13,273.49,1385.46,479.7,0,1.58,1.67,43.47,0
문어초밥,250,377.97,71.84,4.98,1.03,16.9,30.2,256.61,1420.92,395.09,25.75,1.11,2.52,96,0
새우초밥,250,395.54,69.54,2.99,1.21,22.74,73.39,341.13,1396.75,372.75,2.6,2.62,2.17,138.33,0
새우튀김롤,300,572.02,81.5,4,18.9,21.11,110.82,371.52,1512.5,715.82,0.24,3.42,2.49,96.54,0
샐러드김밥,250,422.43,75.84,0,7.51,12.76,45.66,226.51,906.68,541.33,13.74,2.15,2.24,100.53,0
광어초밥,300,471.66,72.53,5.23,3.21,33.74,88.07,410.89,951.28,747.09,1.4,2.96,1.94,126.5,0
소고기김밥,250,425.67,76.07,0,6.64,14.67,64.33,236.14,1477.98,554,12.52,2.27,2.61,99.87,0
갈비삼각김밥,100,183.18,32.75,0,2.6,6.86,14.93,90.9,398.12,180.59,4.93,1.16,1.17,12.42,0
연어롤 ,300,518.58,76.11,0,14.72,20.72,64.97,359.16,1243.82,665.56,23.58,3.83,2.14,51.73,0
연어초밥,250,451.03,70.87,3.96,5.76,24.94,38.03,367.08,995.03,476.13,0.8,1.69,1.87,54.6,0
유부초밥,250,463.21,78.47,6.77,11.23,12.37,120.18,225.59,929.07,291.5,27.28,2.11,2.14,0,0
장어초밥,400,486.35,74.84,2.06,12.73,16.33,132.83,283.27,1291.81,500.64,14.55,2.52,2.39,130.43,0
참치김밥,250,401.22,47.55,0,14.59,19.83,57.81,279.82,925.73,380.33,15.63,4.52,1.96,143.67,0
참치마요삼각김밥,100,189.58,31.93,0,2.89,8.11,6.98,82.82,189.1,69.28,0,1.59,0.77,16.63,0
치즈김밥 ,250,462.23,77.13,0,8.84,17.12,137.52,330.23,919.97,445.72,10.18,1.43,2.53,83.02,0
캘리포니아롤,300,468.16,81.22,0,9.73,12.8,106.58,211.89,1351.96,271.15,3.06,4.95,3.08,28.34,0
한치초밥,250,389.96,77.31,1.74,1.2,13.54,19.98,222.63,1153.49,182.25,1.65,1.86,2.54,0.75,0
일반김밥,200,348.87,63.64,0,5.42,10.28,41.45,159.43,951.32,355.38,3.24,3.4,1.91,69.12,0
간자장,650,807.74,121.75,6.79,26.38,29.28,124.35,308.09,2347.77,607.18,21.25,7.06,2.61,19.43,0
굴짬뽕,900,640.77,115.82,2,7.76,37.39,196.77,506.6,2385.35,1371.89,48.86,14.28,10.34,178.2,0
기스면,1000,645.61,98.3,0,11,43.52,270.98,443.37,2279.52,862.72,11.6,12.27,3.13,341.1,0
김치라면,650,512.26,80.57,2.27,20.34,12.97,62.7,166.94,2628.29,652.67,1.5,1.82,1.3,15.41,0
김치우동,800,512.71,99.06,0,4.74,16.74,247.86,233.55,3003.05,725.53,11.2,4.14,1.76,33.44,0
김치말이국수,600,310.38,60.76,3,2.47,10.42,105.79,191,2335.45,453.96,0,2.43,1.43,22.23,0
닭칼국수,900,643.1,70.24,0,19.59,39.86,110.16,285.97,2492.77,913.48,5.78,2.45,1.64,113.77,0
들깨칼국수,600,442.32,76.67,2.4,6.78,17.48,176.47,217.32,1695.77,693.31,0,2.45,1.08,16.72,0
떡라면,700,672.18,121.08,0,17.58,15.45,30.33,2376.04,2214.36,362.51,0.52,1.59,1.35,2.34,0
라면,550,509.33,83.17,0,17.75,14.08,32.99,145.28,1695.5,374.07,0.97,1.23,1.19,2.34,0
막국수,550,566.89,111.3,11.02,5.09,26.95,68.9,286.78,1828.02,894.77,19.55,3.93,5.23,37.1,0
메밀국수,600,588.68,120.09,10.16,4.53,25.26,76.06,224.96,1962.46,629.12,11.48,3.21,4.64,35.98,0
물냉면,800,579.71,96.4,1.2,9.78,28.78,87.74,422.72,2586.16,1042.89,16.39,7.77,5.69,178.23,0
비빔국수,550,577.17,114.48,11.02,9.55,16.71,130.69,262.58,1628.3,1389.4,7.55,6.27,2.59,0,0
비빔냉면,550,594.31,91.49,2,9.13,23.7,64.99,1186.3,1530.57,298.62,12.31,6.43,4.63,31.73,0
삼선우동,1000,692.26,89.2,2,10.53,56.17,216.64,687.99,2351.43,1528,68.74,11.29,5.47,640.68,0
삼선자장면,700,787.84,111.57,2,24.68,38.33,143.37,493.95,2791.11,850.27,41.7,6.67,3.56,162.24,0
삼선짬뽕,900,629.1,89.31,3,13.45,39.17,172.14,509.6,2825.66,1501.78,0,9.82,4.37,249.3,0
수제비,800,622.15,99.22,0,6.54,38.53,1054.84,907.28,1669.32,1892.55,46.05,11.1,4.71,209,0
쌀국수,600,321.34,46.2,2.2,5.81,21.85,45.02,184.22,2032.17,360.69,48.04,3.21,4.89,123.03,0
열무김치국수,800,488.32,81.61,0,8.22,21.94,341.36,295.98,2587.7,1125.83,1.15,4.45,1.73,45.14,0
오일소스스파게티,400,626.59,99.24,0,16.59,14.68,37.37,52.56,968.7,218.39,0,3.01,2.35,0,0
일식우동,700,420.79,81.23,0.5,1.74,16.94,88.55,155.03,1873.54,371.35,9.34,3.17,0.71,16.2,0
볶음우동,300,377.92,62.26,0.91,10.81,9.59,50.25,93.8,1461.31,637.56,5.73,2.07,1.02,0,0
자장면,650,760.88,134.29,7.99,23.16,15.74,166.7,302.56,2447,1013.84,37.46,5.33,1.41,3.08,0
잔치국수,700,564.23,104.67,0.44,6.23,20.26,250.38,277.3,1792.23,904.12,3.55,3.77,1.9,167.41,0
짬뽕,1000,650.31,118.54,0,13.53,25.53,82.74,320.6,3451.37,857.44,32.8,4.61,3.56,105.23,0
짬뽕라면,750,633.34,88.79,0,24.63,31.41,127.96,393.28,2380.93,1279.06,0,11.16,3.84,85.28,0
쫄면,450,622.42,110.85,22.13,6.93,12.36,140.03,304.89,1271.55,547.14,19.64,4.19,1.46,0,0
치즈라면,600,598.67,83.53,0,23.28,23.35,152.41,367.79,2425.97,652.33,0,3.06,2.99,302.2,0
콩국수,800,623.5,67.12,1,20.43,47.8,227.94,591.06,875.84,1343.71,0,8.58,5.33,0,0
크림소스스파게티,400,825.06,85.88,0,45.4,19.44,233.33,333.99,1025.21,916.21,0,3.26,2.55,140.15,0
토마토소스스파게티,500,642.18,102.07,0,17.37,20.22,97.18,220.69,1404.81,1651.3,0,5.09,3.39,12.65,0
해물칼국수,900,621.2,124.21,0,4.01,24.87,150.05,332.51,2195.05,887.22,0,10.54,2.12,156.77,0
회냉면,550,638.9,131.9,22.73,8.78,20.22,122.05,306.79,1524.28,1374.15,0,6.09,3.14,92.9,0
떡국,800,714.99,144.03,0,5.39,21.86,222.52,362.35,2019.28,610.4,0,4.52,4.13,90.8,0
떡만둣국,700,625.35,113.96,0,9.4,22.72,150.65,289.74,1999.12,949.86,0,3.76,3.24,298.81,0
짜장라면,250,409.38,63.78,0,14.85,12.01,63.63,166,1276.38,490.25,0,1.63,0.84,1.5,0
고기만두,250,454.39,55.33,0,18.25,18.66,121.64,234.64,888.8,767.34,0,4.19,3.09,21,0
군만두,250,684.42,76.17,0,31.18,19.77,53.38,281.62,983.7,595.03,0,4.85,2.66,36,0
김치만두,250,424.64,60.79,0,13.1,18.43,91.73,271.18,961.97,1181.77,0,5.54,2.82,20.28,0
물만두,120,158.05,20.48,0,5.84,5.86,27.6,81.86,269.52,259.71,0,1.42,0.79,7.59,0
만둣국,700,432.62,53.28,0,14.92,19.24,163.29,300.75,2356.67,1202.84,0,5.03,2.14,94.22,0
게살죽,800,554.24,103.59,0,7.63,18.15,160,235.91,1533.96,857.06,0,7.49,3.3,40.87,0
깨죽,800,505.68,71.13,0,18.94,13.43,407.88,262.36,1212.27,186.59,0,6.32,5.07,0,0
닭죽,1000,1181.71,92.53,0,48.18,75.93,116.55,584.82,789.79,1290.97,0,9.84,5.55,271.44,0
소고기버섯죽,800,573.24,102.93,0,6.46,20.52,31.25,288.76,1263.62,504.51,0,2.2,4.33,29.32,0
어죽,800,559.27,90.47,0,6.08,15.53,368.79,369.06,1621.29,450.21,0,4.83,3.13,75.77,0
잣죽,700,872.61,153.79,0,20.29,15.79,15.33,196.78,850.63,296.54,0,4.23,4.52,0,0
전복죽,800,587.29,105.04,0,11.45,14.57,75.23,269.71,1423.93,405.9,0,2.32,2.53,45.15,0
참치죽,800,658.46,105.94,0,13.85,26.08,63.78,341.28,1264.15,851.65,0,4.98,2.54,40.76,0
채소죽,800,514.83,100.8,0,5.13,11.89,227.26,290.18,1211.63,1377.63,0,2.73,2.51,24.29,0
팥죽,600,482.65,100.74,4.79,0.56,20.59,91,76.74,1026.11,940.82,0,6.03,5.15,0,0
호박죽,600,430.33,111.41,25.78,0.72,8.11,18.17,165.36,911.72,1858.9,0,1.98,2.58,0,0
콘스프,400,280.48,35.37,0,14.02,5.82,0,0,1319.46,0,0,0,0,40.71,0
토마토스프,400,382.41,12.42,0,25.4,18.2,0,0,1544.31,0,0,0,0,70.8,0
굴국,450,194.42,11.44,0,8.65,22.8,270.97,400.97,1775.97,759.15,0,5.72,13.61,45,0
김치국,450,86,13.01,0,3.38,6.03,111.35,144.88,1646.15,580.19,0,1.92,1.17,0,0
달걀국,450,193.04,5.35,0,11.11,16.19,65.75,225.2,1263.96,229.57,0,2.08,1.81,641.25,0
감자국,700,220.07,37.01,0,2.16,17,466.58,462.6,1734.15,1855.32,0,5.33,2.7,87.78,0
미역국,500,50.17,4.7,0,4.35,2.7,112.7,43.92,1527.55,658.72,0,1.11,0.45,0,0
바지락조개국,550,159.25,8.51,0,1.84,25.83,168.95,388.49,1650.85,580.06,0,29.46,2.3,145.2,0
소고기무국,400,125.22,8.14,0,4.72,13.51,60.64,131.53,1095.18,662.83,0,3.99,1.71,28.56,0
소고기미역국,650,154.93,6.91,0,6.83,20.23,123.38,207.13,2006.88,912.73,0,3.57,6.06,41.34,0
순대국,800,550.66,22.82,0,32.94,41.22,125.03,208.53,1532.59,592.34,0,10.79,4.42,774.77,0
어묵국,600,252.09,37.16,0,4.21,22.85,599.25,468.04,2022.74,1696.27,0,6.77,2.77,100.37,0
오징어국,500,169.04,10.6,0,2.36,27.74,81.87,409.1,1573.42,810.71,0,2.35,2.75,296.4,0
토란국,250,462.97,85.16,0,7.07,23.89,318.35,465.37,700.67,2625.19,0,5.65,2.69,37.73,0
탕국,250,94.24,2.58,0,4.32,12.08,286.05,220.64,663.05,250.61,0,3.6,1.27,35.48,0
홍합미역국,650,168.88,14.13,0,6.43,19.99,289.38,226.28,2066.27,1549.68,0,11.1,3.01,79.63,0
황태해장국,600,184.22,6.39,0,7.22,25.21,156.4,314.21,1526.82,661.33,0,2.19,1,91.61,0
근대된장국,450,109.26,8.14,0,3.21,15.31,621.1,436.37,1453.19,1211,0,6.12,2.37,112.86,0
미소된장국,150,37.97,1.7,0,1.75,4.14,98.58,88.75,511.98,156.73,0,1.38,0.54,15.68,0
배추된장국,700,121.53,11.04,0,3.63,13.96,103.8,172.07,2321.48,771.84,0,3.53,4.54,25.97,0
뼈다귀해장국 ,1000,715.98,29.71,0,45.37,53.63,239.71,412.34,3093.6,1676.56,0,5.57,5.22,216.24,0
선지(해장)국,1000,314.42,22.29,0,5.03,48.1,84.31,105.25,3053.19,684.1,0,106.24,13.76,149.6,0
콩나물국,400,22.53,1.26,0,1.42,1.82,33.49,44.86,752.43,82.8,8.52,0.48,0.25,7.41,0
시금치된장국,400,121.45,9.9,0,3.39,16.69,624.97,444.76,1381.25,1324.58,0,7.28,2.6,117.04,0
시래기된장국,450,99.12,10.68,0,2.54,10.02,392.83,223.42,1535.63,484.55,0,4.4,1.98,37.62,0
쑥된장국,450,117.32,17.17,0,2.55,13.21,502.74,317.04,1799.6,1434.72,0,5.95,1.83,68.97,0
아욱된장국,450,103.53,9.96,0,2.94,12,292.99,262.6,1462.13,850.83,0,4.14,1.82,37.62,0
우거지된장국,450,85.97,13.72,0,1.81,6.44,89.3,122.06,1593.99,611.84,0,1.51,1.44,0,0
우거지해장국,600,158.5,14.86,0,5.73,14.19,103.79,237.17,1972.09,664.72,0,3.24,2.45,13.26,0
우렁된장국,500,245.28,21.19,0,7.05,24.72,2105.3,270.93,2150.43,745.05,0,11.11,5.04,22.95,0
갈비탕,600,240.4,8.21,0,14.33,18.67,55.31,204.57,1688.43,556.91,0,2.64,4.06,189.84,0
감자탕,900,963.71,49.64,0.9,58.28,60.55,628.48,767.84,2439.38,2414.9,0,6.69,8.08,143.69,0
곰탕,300,181.42,15.5,0,5.44,16.59,43.1,148.34,713.64,425.65,0,3.89,1.97,33.66,0
매운탕,600,402.79,18.83,1.55,21.56,37.16,118.3,437.09,2130.95,1522.5,0,3.33,2.62,148.77,0
꼬리곰탕,700,750.69,10.93,0,52.8,54.87,96.77,552.81,764.73,817.96,0,6.39,12.24,361.23,0
꽃게탕,600,240.65,20.77,0,5.49,31.7,273.97,443.04,2268.86,1369.6,0,8.64,8.32,207.9,0
낙지탕,600,186.1,11.77,0,2.73,29.21,102.32,375.39,1711.12,910.3,0,3.26,4.49,249.6,0
내장탕,700,549.81,13.7,0,31.51,56.97,268.48,559.43,2383.07,1241.55,0,12.92,14.23,467.04,0
닭곰탕,650,527.7,15.39,0,24.14,58.88,119.61,757.38,1005.19,1691.63,0,11.65,6.83,230.49,0
닭볶음탕,300,371.81,19.17,2.02,17.32,33.85,39.84,352.9,1030.46,638.99,0,2.74,4.17,119.25,0
지리탕,600,260.59,10.52,0,8.36,38.34,199.84,475.82,1685.16,1581.45,0,2.58,1.87,154.15,0
도가니탕,800,563.65,5.58,0,34.77,54.6,59.71,506.07,599.27,725.61,0,5.44,13.28,192.64,0
삼계탕,1000,881.32,44.08,0,40.57,76.65,58.97,742.37,1211.32,439.92,0,5.27,9.61,285,0
설렁탕,600,422.76,10.94,0,18.2,52.71,86.91,449.85,725.16,432.48,0,4.1,22.22,219.36,0
알탕,700,424.13,49.52,14.85,6.98,49.21,114.43,790.97,2393.29,1469.8,0,7.34,3.95,610.8,0
연포탕,1000,541.19,21.64,0,9.2,91.65,366.68,1171.55,2307.07,2367.6,0,33.14,10.65,844,0
오리탕,600,480.82,24.16,1.03,21.64,43.21,89.1,478.58,1849.93,810.86,0,7.43,5.2,161.7,0
추어탕,700,338.67,24.42,1.81,11.51,37.37,1598.5,975.9,2077.15,906.87,0,24.7,6.8,298.48,0
해물탕,600,272.26,19.58,1.55,3.38,41.74,233.74,554.88,2071.99,1218.54,0,8.02,7.88,350.22,0
닭개장,700,317.07,19.18,0,14.95,33.74,87.85,388.18,1786.03,1057.87,0,5.37,4.73,96.9,0
육개장,440,137.86,11.62,0,5.87,13.44,61.9,145.84,1112.78,719.33,0,4.13,2.05,24.23,0
뼈해장국,1000,692.93,25.42,0,37.16,67.92,564.57,609.13,3192.46,1299.07,0,33.51,13.37,634.2,0
미역오이냉국,450,77.35,19.74,8.99,1.35,5.61,214.7,209.88,1483.6,1520.12,0,2.77,1.22,0,0
고등어찌개,600,605.31,32.03,0,28.2,59.16,185.01,768.3,2599.71,2013.06,0,8.45,4.23,206.64,0
꽁치찌개,300,356.63,14.48,0.72,20.69,29.51,111.69,388.58,1296.33,705.67,0,4.25,1.82,84.48,0
동태찌개,800,369.69,18.94,1.38,7.8,59.57,262.75,789.14,2487.54,1573.1,0,4.74,2.39,292.66,0
부대찌개,600,525.98,46.81,0,28.48,27.71,140.65,344.39,2689.19,880.56,0,4.05,3.91,42.96,0
된장찌개,400,147.06,15.98,0,5.27,11.71,112.69,194.76,2021.78,429.75,0,1.93,1.62,0,0
청국장찌개,400,275.46,14.97,0,14.43,25.84,180.64,423.48,1839.75,947.12,0,4.94,4.38,36,0
두부전골,500,315.11,16.2,0.86,19.15,29.15,365.91,441.1,1651.53,807.05,0,6.07,3.35,0,0
곱창전골,600,532.65,26.89,0,34.73,38.35,331.71,536.76,1750.42,1145.13,0,8.7,5.29,230.7,0
소고기전골,300,203.22,16.55,0,7.54,19.47,117.8,242.39,1090.15,690.67,0,4.07,5.31,31.8,0
국수전골,400,643.16,66.93,4,22.39,45.29,81.6,392.16,1524.63,1539.3,0,10.98,5.1,81.6,0
돼지고기김치찌개,400,246.29,9.33,0,18.26,15.5,136.71,235.53,1961.48,725.94,0,2.48,2.14,25.3,0
버섯찌개,400,171.86,15.26,0,7.52,16.64,165.6,283.02,1267.81,735.96,0,3.95,2.38,0,0
참치김치찌개,400,193.58,13.33,0,10.89,16.86,200.5,283.6,2604.45,795.12,0,4.38,1.72,35.44,0
순두부찌개,400,198.47,8.78,0,14.03,14.72,135.17,218.6,1331.31,547.85,0,2.81,1.56,6.6,0
콩비지찌개,400,248.66,24.52,0,12.81,15.96,136.41,146.02,1206.33,496.65,0,5.05,1.89,27.06,0
햄김치찌개,300,190.47,15.44,0,10.68,11.63,116.53,220.24,1527.82,482.93,0,2.14,1.64,23.37,0
호박찌개,300,98.3,12.74,2.06,2.34,7.78,194.84,234.99,1028.15,652.01,0,3.28,0.91,59.28,0
고추장찌개,500,263.44,20.08,0,12.35,25.62,498.01,494.09,935.15,863.4,0,5.95,3.21,48.15,0
대구찜,500,372.68,26.43,0,8.43,54.08,223.85,660.75,1888.04,1899.74,0,4.99,2.83,196.35,0
도미찜,100,126.31,0.76,0,3.68,21.01,41.55,274.14,882.04,420.22,3.24,1.1,0.79,191.25,0
문어숙회,80,67.49,0.18,0,0.73,14.14,28.32,171.46,222.83,273.75,0,0.91,1.46,116.74,0
아귀찜,400,310.7,17.59,0,6.68,48.85,161.73,619.16,1463.31,1467.53,0,11.42,3.75,187.42,0
조기찜,100,185.25,1.81,0.34,9.2,22.27,45.63,214.85,631.89,471.25,0.73,1.19,1.01,105.74,0
참꼬막,80,89.77,4.92,1.6,2.17,12.98,101.7,212.15,400.23,329.75,0,6.13,2.17,46.99,0
해물찜,500,397.38,36.02,0,8.94,50.28,264.59,657.53,2213.44,1440.41,0,16.39,5.54,323.98,0
소갈비찜,250,500.45,11.31,0,29.17,42.55,22.99,385.49,768.42,749.09,0,3.65,9.21,141.83,0
돼지갈비찜,170.1,249.7,8.82,1.76,14.42,20.57,30.95,243.75,946.68,391.57,0,1.1,2.69,70.38,0
